"名前","変更後","フリガナ","現役期間"
"村松忠信","保田隆芳","ヤスダタカヨシ","～1968"
"佐渡亮太","古山良司","フルヤマリョウジ","～1969"
"出口良平","松永善晴","マツナガヨシハル","～1971"
"三沢準一","飯塚好次","イイヅカヨシジ","～1971"
"宮崎俊輔","瀬戸口勉","セトグチツトム","～1972"
"岩山利彦","清水久雄","シミズヒサオ","～1973"
"鈴木清士郎","須貝彦三","スガイヒコゾウ","～1973"
"林達吾郎","藤本勝彦","フジモトカツヒコ","～1973"
"平沼清志","野平幸雄","ノヒラユキオ","～1973"
"太田明信","前田禎","マエダタダシ","～1974"
"角田政重","高森紀夫","タカモリノリオ","～1974"
"鹿野英輔","長池辰三","ナガイケタツゾウ","～1974"
"花井翔平","佐藤征助","サトウセイスケ","～1974"
"平沼誠治","野平祐二","ノヒラユウジ","～1974"
"洲崎亮太","新関力","ニイゼキツトム","～1975"
"隅野琢磨","玉田一彦","タマダカズヒコ","～1975"
"石上祐輝","北橋修二","キタハシシュウジ","～1976"
"滝野川正洋","高橋成忠","タカハシシゲタダ","～1976"
"田野倉祈一","大和田稔","オオワダミノル","～1976"
"成島秀樹","高尾武士","タカオタケシ","～1976"
"桃瀬一誠","岩田始","イワタハジメ","～1976"
"山田祐平","沢峰次","サワミネツグ","～1976"
"青島圭","池江泰郎","イケエヤスオ","～1977"
"岡田圭一郎","安藤正敏","アンドウマサトシ","～1977"
"小川定春","二ツ森馨","フタツモリカオル","～1977"
"尾山田卓実","矢野一博","ヤノカズヒロ","～1977"
"菅井力矢","町田精生","マチダヤスオ","～1977"
"吉沢七郎","吉岡八郎","ヨシオカハチロウ","～1977"
"三条祥太","野元昭","ノモトアキラ","～1974"
"谷岡大悟","笹倉武久","ササクラタケヒサ","～1978"
"富樫哲司","安田伊佐夫","ヤスダイサオ","～1978"
"豊平政伸","清水美波","シミズヨシナミ","～1978"
"畑川茂之","畠山重則","ハタケヤマシゲノリ","～1978"
"小山良介","領家政蔵","リョウケマサゾウ","～1979"
"川奈賢司","松田博資","マツダヒロヨシ","～1980"
"奈良井甚治","簗田善則","ヤナダヨシノリ","～1980"
"馬場裕央","福永洋一","フクナガヨウイチ","～1980"
"今関則吉","稲部和久","イナベカズヒサ","～1981"
"遠藤明","小野幸治","オノユキハル","～1981"
"北城友希","松本善登","マツモトヨシト","～1981"
"江川伸輔","関口健太郎","セキグチケンタロウ","～1982"
"尾山田久康","矢野照正","ヤノテルマサ","～1982"
"小池祥太","佐山優","サヤママサル","～1982"
"堺陸也","津田昭","ツダアキラ","～1982"
"玉置俊明","森安重勝","モリヤスシゲカツ","～1982"
"清田秀実","清水出美","シミズイズミ","～1983"
"萩新太郎","鹿戸明","シカトアキラ","～1983"
"深谷翔太郎","田島日出雄","タジマヒデオ","～1983"
"矢部孝輔","白石一典","シライシカズノリ","～1983"
"石橋真吾","小林常泰","コバヤシツネヤス","～1984"
